
Host: visitor-wireless1-147-155-220-89.ameslab.gov

Timers On : Wed May 28 10:33:42 2025
Timers Off: Wed May 28 10:34:00 2025

Wall Time:       17.81 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.650u      0.083s      0.523w     36 calls
Libint2ERI::Libint2ERI              :      0.167u      0.050s      0.210w    108 calls
HF: Form core H                     :      0.000u      0.017s      0.037w     36 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w     36 calls
HF: Guess                           :      0.733u      0.217s      0.540w     36 calls
SAD Guess                           :      0.700u      0.217s      0.522w     36 calls
HF: Form G                          :      0.117u      0.017s      0.105w    447 calls
JK: D                               :      0.000u      0.000s      0.001w    447 calls
JK: USO2AO                          :      0.000u      0.000s      0.003w    447 calls
JK: JK                              :      0.117u      0.000s      0.094w    447 calls
PK computes JK                      :      0.117u      0.000s      0.093w    447 calls
JK: AO2USO                          :      0.000u      0.017s      0.004w    447 calls
HF: Form F                          :      0.000u      0.000s      0.001w    447 calls
HF: Form D                          :      0.000u      0.000s      0.001w    447 calls
HF: DIIS                            :      1.067u      0.183s      1.013w    411 calls
HF: Form C                          :      0.083u      0.000s      0.055w    411 calls
ccenergy                            :      2.900u      8.783s      7.626w     36 calls
F build                             :      0.233u      0.267s      0.286w    456 calls
Wmbej build                         :      0.250u      0.417s      0.496w    456 calls
C->Wmbej                            :      0.017u      0.033s      0.018w    456 calls
F->Wmbej                            :      0.150u      0.233s      0.332w    456 calls
E->Wmbej                            :      0.033u      0.050s      0.055w    456 calls
X->Wmbej                            :      0.050u      0.100s      0.076w    456 calls
Z                                   :      0.017u      0.000s      0.028w    456 calls
T2 Build                            :      1.050u      0.933s      1.369w    456 calls
BT2                                 :      0.450u      0.683s      0.838w    456 calls
ABCD:new                            :      0.450u      0.683s      0.837w    456 calls
ABCD:S                              :      0.033u      0.017s      0.028w    456 calls
ABCD:A                              :      0.050u      0.017s      0.027w    456 calls
ABCD:axpy                           :      0.367u      0.650s      0.742w    456 calls
FT2                                 :      0.083u      0.050s      0.041w    456 calls
WmbejT2                             :      0.100u      0.083s      0.126w    456 calls
CT2                                 :      0.250u      0.117s      0.236w    456 calls
cctriples                           :      0.417u      0.533s      0.606w     36 calls
ET_RHF                              :      0.350u      0.050s      0.230w     36 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.650u      0.083s      0.523w     36 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.033s      0.153w     72 calls
HF: Form core H                     :      0.000u      0.017s      0.037w     36 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w     36 calls
HF: Guess                           :      0.733u      0.217s      0.540w     36 calls
| SAD Guess                         :      0.700u      0.217s      0.522w     36 calls
HF: Form G                          :      0.117u      0.017s      0.105w    447 calls
| JK: D                             :      0.000u      0.000s      0.001w    447 calls
| JK: USO2AO                        :      0.000u      0.000s      0.003w    447 calls
| JK: JK                            :      0.117u      0.000s      0.094w    447 calls
| | PK computes JK                  :      0.117u      0.000s      0.093w    447 calls
| JK: AO2USO                        :      0.000u      0.017s      0.004w    447 calls
HF: Form F                          :      0.000u      0.000s      0.001w    447 calls
HF: Form D                          :      0.000u      0.000s      0.001w    447 calls
HF: DIIS                            :      1.067u      0.183s      1.013w    411 calls
HF: Form C                          :      0.083u      0.000s      0.055w    411 calls
Libint2ERI::Libint2ERI              :      0.067u      0.017s      0.057w     36 calls
ccenergy                            :      2.900u      8.783s      7.626w     36 calls
| F build                           :      0.233u      0.267s      0.286w    456 calls
| Wmbej build                       :      0.250u      0.417s      0.496w    456 calls
| | C->Wmbej                        :      0.017u      0.033s      0.018w    456 calls
| | F->Wmbej                        :      0.150u      0.233s      0.332w    456 calls
| | E->Wmbej                        :      0.033u      0.050s      0.055w    456 calls
| | X->Wmbej                        :      0.050u      0.100s      0.076w    456 calls
| Z                                 :      0.017u      0.000s      0.028w    456 calls
| T2 Build                          :      1.050u      0.933s      1.369w    456 calls
| | BT2                             :      0.450u      0.683s      0.838w    456 calls
| | | ABCD:new                      :      0.450u      0.683s      0.837w    456 calls
| | | | ABCD:S                      :      0.033u      0.017s      0.028w    456 calls
| | | | ABCD:A                      :      0.050u      0.017s      0.027w    456 calls
| | | | ABCD:axpy                   :      0.367u      0.650s      0.742w    456 calls
| | FT2                             :      0.083u      0.050s      0.041w    456 calls
| | WmbejT2                         :      0.100u      0.083s      0.126w    456 calls
| | CT2                             :      0.250u      0.117s      0.236w    456 calls
cctriples                           :      0.417u      0.533s      0.606w     36 calls
| ET_RHF                            :      0.350u      0.050s      0.230w     36 calls

**************************************************************************************
