Total_energy_Delta_E_AB_AB,Total_energy_BSSE_A,Total_energy_BSSE_B,MP2_correlation_energy_Delta_E_AB_AB,MP2_correlation_energy_BSSE_A,MP2_correlation_energy_BSSE_B,(T)_correlation_energy_Delta_E_AB_AB,(T)_correlation_energy_BSSE_A,(T)_correlation_energy_BSSE_B,CCSD corr.energy_Delta_E_AB_AB,CCSD corr.energy_BSSE_A,CCSD corr.energy_BSSE_B,SCF_energy_Delta_E_AB_AB,SCF_energy_BSSE_A,SCF_energy_BSSE_B,x,y,z
"(0.06396379374527328,)","(0.0017988143366949316,)","(0.0019491598515628539,)","(-0.0064819060189429956,)","(0.0011973448350680038,)","(0.0012993960996269815,)","(-0.0010690434808490008,)","(0.00016876027035799945,)","(0.00018122851254299965,)","(0.0006636988930009691,)","(-8.486669162302563e-05,)","(-8.67711882879818e-05,)","(0.07085104435302014,)","(0.0005175759229985033,)","(0.000555306427997948,)",0.25,1.0,1.75
"(0.0393083411535855,)","(0.0014529614374509947,)","(0.0015570790984753557,)","(-0.005641836837662034,)","(0.0009467822740389931,)","(0.001018465541458985,)","(-0.0009403476085590003,)","(0.00013973229250400024,)","(0.0001494430496519995,)","(0.0006284222250140525,)","(-6.686511601400325e-05,)","(-6.764674014700378e-05,)","(0.04526210337400016,)","(0.00043331198699547713,)","(0.00045681724699875303,)",0.25,1.25,1.75
"(0.04459500658991544,)","(0.0015739435567638793,)","(0.001750790400407709,)","(-0.007332281392970014,)","(0.0010400798982299897,)","(0.001195238366007989,)","(-0.001135045826001999,)","(0.00014872242744499997,)","(0.00016635236043200004,)","(0.0011985776773719703,)","(-7.696578908300555e-05,)","(-8.727098214000861e-05,)","(0.051863756130998695,)","(0.0004621070199988253,)","(0.0004764706559967635,)",0.25,1.5,1.5
"(0.022116362809384782,)","(0.00112859909741303,)","(0.0011875615648335724,)","(-0.004802055296488972,)","(0.0007166960501099884,)","(0.0007604806985559986,)","(-0.0008065541934550004,)","(0.00011160152989399957,)","(0.00011779908193899988,)","(0.0005579968723019579,)","(-4.984279930800306e-05,)","(-4.9978913377018985e-05,)","(0.027166975428002615,)","(0.00035014431699664783,)","(0.00035926069799074867,)",0.25,1.5,1.75
"(0.08984370503813466,)","(0.002220029893976516,)","(0.0024831465044883316,)","(-0.012242109724466987,)","(0.0014755532251019832,)","(0.0017599648049919925,)","(-0.0017313813957489993,)","(0.00018780034806399962,)","(0.000217274563015,)","(0.0028247171694779916,)","(-0.00010786222823799818,)","(-0.0001303240070009981,)","(0.10099247898800456,)","(0.0006645385489889577,)","(0.0006362311429910505,)",0.25,1.75,1.0
"(0.04688786728046068,)","(0.0016355123714646425,)","(0.0018202197245784646,)","(-0.008568904455032,)","(0.0010597326337799806,)","(0.001253845211289989,)","(-0.0012838480645509997,)","(0.0001495746961579997,)","(0.00017077726630699945,)","(0.0016439282662560062,)","(-7.921293604398749e-05,)","(-9.639751926499018e-05,)","(0.05509669153398988,)","(0.0005054179779904189,)","(0.0004919947659942636,)",0.25,1.75,1.25
"(0.023532480059017757,)","(0.0011872207068392981,)","(0.0012762990572667832,)","(-0.00583371346025896,)","(0.0007552536305659996,)","(0.0008344054174480031,)","(-0.0009304351815800005,)","(0.00011627556229899978,)","(0.00012614155292699995,)","(0.0008878491343469463,)","(-5.459587772801977e-05,)","(-5.96168921560003e-05,)","(0.029408779567006604,)","(0.00037028739198774474,)","(0.00037536897899315136,)",0.25,1.75,1.5
"(0.011533922662437135,)","(0.0008808799984336702,)","(0.0008961356903824935,)","(-0.003969881057470009,)","(0.0005442121272109801,)","(0.0005623182645489999,)","(-0.0006702314593249993,)","(8.912917819599991e-05,)","(9.15211281140001e-05,)","(0.00045812462662503384,)","(-3.632854143098552e-05,)","(-3.6229152934996733e-05,)","(0.01571591055299848,)","(0.0002838672339890991,)","(0.00027852545099449344,)",0.25,1.75,1.75
"(0.06705734475528402,)","(0.0018475755301778918,)","(0.0022866635248419698,)","(-0.008138556776236983,)","(0.0012352355244709956,)","(0.001605780054207001,)","(-0.001242376643047,)","(0.00016900030565300019,)","(0.00020920905887000015,)","(0.0014032880913149859,)","(-9.128009124001468e-05,)","(-0.00011333843450900272,)","(0.07503499008301162,)","(0.0005346197909972261,)","(0.0005850128459883308,)",0.5,1.25,1.5
"(0.0332731681428271,)","(0.0013400135609913377,)","(0.0015224298987419616,)","(-0.005205311857957973,)","(0.000861076904242003,)","(0.0009863811282229962,)","(-0.0008805292096359992,)","(0.00012960917981699998,)","(0.000146296627569,)","(0.0005936598260479764,)","(-6.131747643400853e-05,)","(-6.25326758210143e-05,)","(0.03876534938399345,)","(0.00041064495299281134,)","(0.0004522848189907336,)",0.5,1.25,1.75
