x,y,z,BSSE_A,x_O,y_O,z_O,x_H1,y_H1,z_H1,x_H2,y_H2,z_H2
0.25,2.0,0.25,2.1040425973529926,0.09781439,1.99883602,0.25,0.6877687800000001,1.2338895399999998,0.25,0.69759598,2.7560792100000002,0.25
0.5,2.0,0.25,1.9232136539040767,0.34781439000000003,1.99883602,0.25,0.9377687800000001,1.2338895399999998,0.25,0.94759598,2.7560792100000002,0.25
0.25,2.0,0.5,1.7858088079839438,0.09781439,1.99883602,0.5,0.6877687800000001,1.2338895399999998,0.5,0.69759598,2.7560792100000002,0.5
1.0,1.75,0.25,1.674816788103301,0.84781439,1.74883602,0.25,1.43776878,0.98388954,0.25,1.44759598,2.5060792100000002,0.25
0.5,2.0,0.5,1.6637866651805118,0.34781439000000003,1.99883602,0.5,0.9377687800000001,1.2338895399999998,0.5,0.94759598,2.7560792100000002,0.5
0.75,2.0,0.25,1.5677611021532587,0.59781439,1.99883602,0.25,1.18776878,1.2338895399999998,0.25,1.19759598,2.7560792100000002,0.25
1.25,1.5,0.5,1.5007995490383403,1.09781439,1.49883602,0.5,1.68776878,0.73388954,0.5,1.69759598,2.2560792100000002,0.5
0.75,1.75,0.75,1.4645561984317776,0.59781439,1.74883602,0.75,1.18776878,0.98388954,0.75,1.19759598,2.5060792100000002,0.75
1.0,1.75,0.5,1.4592749226261754,0.84781439,1.74883602,0.5,1.43776878,0.98388954,0.5,1.44759598,2.5060792100000002,0.5
0.0,0.0,0.0,,-0.15218561,-0.00116398,0.0,0.43776878,-0.76611046,0.0,0.44759598,0.75607921,0.0
