config,x,y,z,method,basis,no_vmfc,vmfc,bsse
0,0.25,0.25,1.5,CCSD_T,aug-cc-pvdz,0.0007153087050255635,0.0009519950322385284,-0.0002366863272129649
2,0.25,1.0,1.75,CCSD_T,aug-cc-pvdz,-0.0005836954908318148,-0.00040534458784691196,-0.00017835090298490286
3,0.25,1.5,1.5,CCSD_T,aug-cc-pvdz,-8.73061652839624e-05,6.353185136731554e-05,-0.00015083801665127794
4,0.25,1.5,1.75,CCSD_T,aug-cc-pvdz,-0.00037813622031990235,-0.0002485573211714609,-0.00012957889914844145
5,0.25,1.25,1.75,CCSD_T,aug-cc-pvdz,-0.0004665888695285503,-0.000311925383513767,-0.0001546634860147833
6,0.25,1.75,1.0,CCSD_T,aug-cc-pvdz,0.0009264470978962436,0.0010933357737314964,-0.0001668886758352528
7,0.25,1.75,1.5,CCSD_T,aug-cc-pvdz,-0.0001707903925591836,-4.2586047200643407e-05,-0.0001282043453585402
8,0.25,1.75,1.25,CCSD_T,aug-cc-pvdz,0.00021533869457357468,0.000360080201730284,-0.0001447415071567093
9,0.25,1.75,1.75,CCSD_T,aug-cc-pvdz,-0.00032019944464423133,-0.00021210683269146102,-0.00010809261195277031
10,0.25,2.0,0.5,CCSD_T,aug-cc-pvdz,0.0010829932979277146,0.0013028454658723376,-0.00021985216794462303
11,0.25,2.0,0.25,CCSD_T,aug-cc-pvdz,0.001335549495252053,0.0015864372234943858,-0.00025088772824233274
12,0.25,2.0,0.75,CCSD_T,aug-cc-pvdz,0.0006625856522362028,0.0008413592613010223,-0.00017877360906481954
13,0.25,2.0,1.0,CCSD_T,aug-cc-pvdz,0.00022960759383749973,0.00037717963442673863,-0.0001475720405892389
14,0.25,2.0,1.5,CCSD_T,aug-cc-pvdz,-0.00023466567500918245,-0.00012425423125250745,-0.000110411443756675
15,0.25,2.0,1.25,CCSD_T,aug-cc-pvdz,-7.940118777582938e-05,4.878468628533028e-05,-0.00012818587406115967
16,0.25,2.0,1.75,CCSD_T,aug-cc-pvdz,-0.00028526246259730215,-0.0001913768542891603,-9.388560830814185e-05
17,0.25,2.5,0.5,CCSD_T,aug-cc-pvdz,-0.00029877493889785,-0.00018916160586002206,-0.00010961333303782794
18,0.25,2.5,0.25,CCSD_T,aug-cc-pvdz,-0.00027428208872493087,-0.00017238356105053754,-0.00010189852767439334
19,0.25,2.5,0.75,CCSD_T,aug-cc-pvdz,-0.0003140697007779636,-0.00020626572636217588,-0.0001078039744157877
20,0.25,2.5,1.0,CCSD_T,aug-cc-pvdz,-0.00031454985509071776,-0.0002120101939055985,-0.00010253966118511926
21,0.25,2.5,1.5,CCSD_T,aug-cc-pvdz,-0.00026974458901918297,-0.00018247690748296463,-8.726768153621833e-05
22,0.25,2.5,1.25,CCSD_T,aug-cc-pvdz,-0.00029787611796905367,-0.00020205047630383888,-9.582564166521479e-05
23,0.25,2.5,1.75,CCSD_T,aug-cc-pvdz,-0.00023539052284604622,-0.00015888381203410518,-7.650671081194105e-05
24,0.25,2.25,0.5,CCSD_T,aug-cc-pvdz,0.00011286293982948337,0.00028596137541114786,-0.0001730984355816645
25,0.25,2.25,0.25,CCSD_T,aug-cc-pvdz,0.00023393017559669715,0.00040915331082658213,-0.00017522313522988497
26,0.25,2.25,0.75,CCSD_T,aug-cc-pvdz,-3.0330153322211117e-05,0.00011838303888112023,-0.00014871319220333135
27,0.25,2.25,1.0,CCSD_T,aug-cc-pvdz,-0.00015997079199792097,-3.3152983647255496e-05,-0.00012681780835066547
28,0.25,2.25,1.5,CCSD_T,aug-cc-pvdz,-0.00026750423265298195,-0.00016995066991398744,-9.755356273899451e-05
29,0.25,2.25,1.25,CCSD_T,aug-cc-pvdz,-0.00024024339910511117,-0.00012922598209286207,-0.0001110174170122491
30,0.25,2.25,1.75,CCSD_T,aug-cc-pvdz,-0.00026138782271800665,-0.00017598877685998104,-8.53990458580256e-05
31,0.25,2.75,0.5,CCSD_T,aug-cc-pvdz,-0.000405452214494062,-0.0003311869306656945,-7.42652838283675e-05
32,0.25,2.75,0.25,CCSD_T,aug-cc-pvdz,-0.00041696799209489654,-0.0003536839208635456,-6.328407123135094e-05
33,0.25,2.75,0.75,CCSD_T,aug-cc-pvdz,-0.0003774990373131004,-0.0002959670413247295,-8.153199598837091e-05
34,0.25,2.75,1.0,CCSD_T,aug-cc-pvdz,-0.0003378931225483939,-0.0002534060139396388,-8.448710860875508e-05
35,0.25,2.75,1.5,CCSD_T,aug-cc-pvdz,-0.00024607534371057227,-0.0001715607979235756,-7.451454578699668e-05
36,0.25,2.75,1.25,CCSD_T,aug-cc-pvdz,-0.0002921546092409244,-0.00021031388214964863,-8.184072709127577e-05
37,0.25,2.75,1.75,CCSD_T,aug-cc-pvdz,-0.00020259321414073383,-0.00013775338831578665,-6.483982582494718e-05
38,0.5,1.0,1.75,CCSD_T,aug-cc-pvdz,-0.0005488100254353867,-0.00037480294295733074,-0.00017400708247805596
39,0.5,1.5,1.5,CCSD_T,aug-cc-pvdz,-8.836221743990791e-05,5.938593068322007e-05,-0.00014774814812312798
40,0.5,1.5,1.25,CCSD_T,aug-cc-pvdz,0.0005362405417770333,0.0007087777196801426,-0.0001725371779031093
41,0.5,1.5,1.75,CCSD_T,aug-cc-pvdz,-0.00035887684288127275,-0.00023018614429304307,-0.00012869069858822968
42,0.5,1.25,1.5,CCSD_T,aug-cc-pvdz,-1.267939052240763e-05,0.0001609114482619134,-0.00017359083878432102
43,0.5,1.25,1.75,CCSD_T,aug-cc-pvdz,-0.00043892503873621536,-0.000286869383614885,-0.00015205565512133035
44,0.5,1.75,1.0,CCSD_T,aug-cc-pvdz,0.0007555219266350832,0.0009329089056961948,-0.00017738697906111156
45,0.5,1.75,1.25,CCSD_T,aug-cc-pvdz,0.00017042936678990372,0.00031571713415701197,-0.00014528776736710824
46,0.5,1.75,1.5,CCSD_T,aug-cc-pvdz,-0.00016864241615621722,-4.124677144545785e-05,-0.00012739564471075937
47,0.5,1.75,1.75,CCSD_T,aug-cc-pvdz,-0.00030645898766579194,-0.0001980166866530908,-0.00010844230101270114
48,0.5,2.0,0.25,CCSD_T,aug-cc-pvdz,0.0010904442198977904,0.0013101834993278771,-0.00021973927943008675
49,0.5,2.0,0.5,CCSD_T,aug-cc-pvdz,0.0008633494672380948,0.0010750391503506762,-0.0002116896831125814
50,0.5,2.0,0.75,CCSD_T,aug-cc-pvdz,0.0005209871800957444,0.0007016534027712851,-0.00018066622267554067
51,0.5,2.0,1.0,CCSD_T,aug-cc-pvdz,0.00016900979525757975,0.00031860763031943407,-0.0001495978350618543
52,0.5,2.0,1.25,CCSD_T,aug-cc-pvdz,-9.099020417124848e-05,3.801403757108801e-05,-0.0001290042417423365
53,0.5,2.0,1.5,CCSD_T,aug-cc-pvdz,-0.00022802072410854635,-0.00011671084493514172,-0.00011130987917340462
54,0.5,2.0,1.75,CCSD_T,aug-cc-pvdz,-0.000273796533008408,-0.0001794571561504199,-9.43393768579881e-05
55,0.5,2.25,0.25,CCSD_T,aug-cc-pvdz,0.00016606026917997951,0.00032077774191918706,-0.00015471747273920755
56,0.5,2.25,0.5,CCSD_T,aug-cc-pvdz,6.313119095580078e-05,0.0002237015031454348,-0.00016057031218963402
57,0.5,2.25,0.75,CCSD_T,aug-cc-pvdz,-5.721190385088448e-05,8.859987315190665e-05,-0.00014581177700279113
58,0.5,2.25,1.0,CCSD_T,aug-cc-pvdz,-0.00016551305628809132,-3.759929745683621e-05,-0.0001279137588312551
59,0.5,2.25,1.25,CCSD_T,aug-cc-pvdz,-0.00023304885584707336,-0.00012056944630955968,-0.00011247940953751367
60,0.5,2.25,1.5,CCSD_T,aug-cc-pvdz,-0.00025639896520601724,-0.00015829026433777926,-9.810870086823797e-05
61,0.5,2.25,1.75,CCSD_T,aug-cc-pvdz,-0.0002495843456813418,-0.0001648604260395814,-8.47239196417604e-05
62,0.5,2.5,0.25,CCSD_T,aug-cc-pvdz,-0.0002676866103001885,-0.00016790588584569832,-9.978072445449016e-05
63,0.5,2.5,0.5,CCSD_T,aug-cc-pvdz,-0.0002888413640391718,-0.00017931780010371767,-0.00010952356393545415
64,0.5,2.5,0.75,CCSD_T,aug-cc-pvdz,-0.00030012628454301193,-0.00019115609954667434,-0.0001089701849963376
65,0.5,2.5,1.0,CCSD_T,aug-cc-pvdz,-0.00029803498091496294,-0.00019449794676518195,-0.00010353703414978099
66,0.5,2.5,1.25,CCSD_T,aug-cc-pvdz,-0.000281571433163208,-0.00018592816273610424,-9.564327042710374e-05
67,0.5,2.5,1.5,CCSD_T,aug-cc-pvdz,-0.00025518499168697417,-0.00016941510634183032,-8.576988534514385e-05
68,0.5,2.5,1.75,CCSD_T,aug-cc-pvdz,-0.00022278430881783606,-0.0001483649895419603,-7.441931927587575e-05
69,0.5,2.75,0.25,CCSD_T,aug-cc-pvdz,-0.0003865021602393881,-0.00032172508559824564,-6.477707464114246e-05
70,0.5,2.75,0.5,CCSD_T,aug-cc-pvdz,-0.00037672378152819874,-0.0003010849343922928,-7.563884713590596e-05
71,0.5,2.75,0.75,CCSD_T,aug-cc-pvdz,-0.00035098375016673344,-0.0002691346758041391,-8.184907436259437e-05
72,0.5,2.75,1.0,CCSD_T,aug-cc-pvdz,-0.0003144513222537171,-0.00023142514437779482,-8.302617787592226e-05
73,0.5,2.75,1.25,CCSD_T,aug-cc-pvdz,-0.00027273415588524585,-0.00019354526473591704,-7.918889114932881e-05
74,0.5,2.75,1.5,CCSD_T,aug-cc-pvdz,-0.00023051209072377787,-0.00015897746914106392,-7.153462158271395e-05
75,0.5,2.75,1.75,CCSD_T,aug-cc-pvdz,-0.00019040604067299682,-0.00012823322006738636,-6.217282060561047e-05
76,0.75,0.75,1.75,CCSD_T,aug-cc-pvdz,-0.0006456887361423469,-0.0004631511428954127,-0.0001825375932469342
77,0.75,1.0,1.75,CCSD_T,aug-cc-pvdz,-0.0005166092026627211,-0.00034791049877469504,-0.0001686987038880261
78,0.75,1.25,1.5,CCSD_T,aug-cc-pvdz,-5.10548216539064e-05,0.00011693017070513179,-0.0001679849923590382
79,0.75,1.25,1.75,CCSD_T,aug-cc-pvdz,-0.00041278327566374173,-0.0002640296861358138,-0.00014875358952792794
80,0.75,1.5,1.25,CCSD_T,aug-cc-pvdz,0.0004015281631666312,0.0005686142594214516,-0.0001670860962548204
81,0.75,1.5,1.5,CCSD_T,aug-cc-pvdz,-0.00010987077820345803,3.514407852378554e-05,-0.00014501485672724357
82,0.75,1.5,1.75,CCSD_T,aug-cc-pvdz,-0.0003384232144583166,-0.00021144889569768566,-0.00012697431876063092
83,0.75,1.75,0.75,CCSD_T,aug-cc-pvdz,0.00112773602572247,0.0013630673453803865,-0.00023533131965791654
84,0.75,1.75,1.0,CCSD_T,aug-cc-pvdz,0.0005623999011561409,0.0007391077276110991,-0.0001767078264549582
85,0.75,1.75,1.25,CCSD_T,aug-cc-pvdz,0.00010429006638901228,0.0002480704621206087,-0.0001437803957315964
86,0.75,1.75,1.5,CCSD_T,aug-cc-pvdz,-0.0001740970501487027,-4.718791005586809e-05,-0.0001269091400928346
87,0.75,1.75,1.75,CCSD_T,aug-cc-pvdz,-0.0002891084156999568,-0.00018129733510363621,-0.00010781108059632061
88,0.75,2.0,0.25,CCSD_T,aug-cc-pvdz,0.0008869715310595438,0.0010863297450356413,-0.00019935821397609743
89,0.75,2.0,0.5,CCSD_T,aug-cc-pvdz,0.0006631365190514771,0.0008623812278614196,-0.0001992447088099425
90,0.75,2.0,0.75,CCSD_T,aug-cc-pvdz,0.0003771278077522311,0.0005524776610172921,-0.00017534985326506103
91,0.75,2.0,1.0,CCSD_T,aug-cc-pvdz,9.876368952177472e-05,0.00024745587313645956,-0.00014869218361468484
92,0.75,2.0,1.25,CCSD_T,aug-cc-pvdz,-0.00010796706743576578,2.1201298480377773e-05,-0.00012916836591614356
93,0.75,2.0,1.5,CCSD_T,aug-cc-pvdz,-0.00022026388217000203,-0.00010890180776357283,-0.0001113620744064292
94,0.75,2.0,1.75,CCSD_T,aug-cc-pvdz,-0.0002568634276656212,-0.00016321302798871784,-9.365039967690336e-05
95,0.75,2.25,0.25,CCSD_T,aug-cc-pvdz,0.00010771776931051136,0.0002512098115232675,-0.00014349204221275613
96,0.75,2.25,0.5,CCSD_T,aug-cc-pvdz,2.089985142106343e-05,0.00016963466462982524,-0.0001487348132087618
97,0.75,2.25,0.75,CCSD_T,aug-cc-pvdz,-8.005302734659381e-05,6.071117657313607e-05,-0.00014076420391972988
98,0.75,2.25,1.0,CCSD_T,aug-cc-pvdz,-0.00016735228132347402,-4.033953632642806e-05,-0.00012701274499704596
99,0.75,2.25,1.25,CCSD_T,aug-cc-pvdz,-0.00022101782533923142,-0.00010891059567086359,-0.00011210722966836784
100,0.75,2.25,1.5,CCSD_T,aug-cc-pvdz,-0.00023919936617744497,-0.00014238751262496407,-9.68118535524809e-05
101,0.75,2.25,1.75,CCSD_T,aug-cc-pvdz,-0.000231104673758864,-0.0001486385864524209,-8.246608730644311e-05
102,0.75,2.5,0.25,CCSD_T,aug-cc-pvdz,-0.00024928535773938165,-0.00014737741321368958,-0.00010190794452569207
103,0.75,2.5,0.5,CCSD_T,aug-cc-pvdz,-0.00026429887523704565,-0.0001562420151515198,-0.00010805686008552584
104,0.75,2.5,0.75,CCSD_T,aug-cc-pvdz,-0.000272888448591857,-0.00016536238987896468,-0.00010752605871289234
105,0.75,2.5,1.0,CCSD_T,aug-cc-pvdz,-0.0002701249574101894,-0.00016832540148925546,-0.00010179955592093393
106,0.75,2.5,1.25,CCSD_T,aug-cc-pvdz,-0.0002556606233952152,-0.0001628111341034355,-9.284948929177972e-05
107,0.75,2.5,1.5,CCSD_T,aug-cc-pvdz,-0.00023238432382299834,-0.0001503121071948499,-8.207221662814845e-05
108,0.75,2.5,1.75,CCSD_T,aug-cc-pvdz,-0.00020313717359954353,-0.00013251657071577938,-7.062060288376415e-05
109,0.75,2.75,0.25,CCSD_T,aug-cc-pvdz,-0.0003417553936344575,-0.0002725802110603581,-6.917518257409938e-05
110,0.75,2.75,0.5,CCSD_T,aug-cc-pvdz,-0.0003315496953746333,-0.00025537753995763524,-7.617215541699807e-05
111,0.75,2.75,0.75,CCSD_T,aug-cc-pvdz,-0.00030931638150377694,-0.0002295732011674545,-7.974318033632244e-05
112,0.75,2.75,1.0,CCSD_T,aug-cc-pvdz,-0.00027826757704474403,-0.00019934761419904135,-7.891996284570268e-05
113,0.75,2.75,1.25,CCSD_T,aug-cc-pvdz,-0.00024297026246244968,-0.0001688619053226148,-7.410835713983488e-05
114,0.75,2.75,1.5,CCSD_T,aug-cc-pvdz,-0.00020667526530360192,-0.00014018720777642102,-6.64880575271809e-05
115,0.75,2.75,1.75,CCSD_T,aug-cc-pvdz,-0.00017167088492442417,-0.00011389822864771304,-5.777265627671113e-05
116,1.0,0.25,1.75,CCSD_T,aug-cc-pvdz,-0.0008560479289769773,-0.0006767524099728917,-0.0001792955190040857
117,1.0,0.5,1.75,CCSD_T,aug-cc-pvdz,-0.0007488857923192427,-0.0005717318920801517,-0.00017715390023909094
118,1.0,0.75,1.75,CCSD_T,aug-cc-pvdz,-0.000616298067001253,-0.0004447010835377796,-0.0001715969834634734
119,1.0,1.0,1.5,CCSD_T,aug-cc-pvdz,-0.00014103648615559905,4.32926636335651e-05,-0.00018432914978916415
120,1.0,1.0,1.75,CCSD_T,aug-cc-pvdz,-0.0004921246142259861,-0.0003321809705028045,-0.0001599436437231816
121,1.0,1.25,1.25,CCSD_T,aug-cc-pvdz,0.00046003382411186067,0.0006494958593918909,-0.00018946203528003025
122,1.0,1.25,1.5,CCSD_T,aug-cc-pvdz,-0.00012875965467173955,3.460854357228982e-05,-0.00016336819824402937
123,1.0,1.25,1.75,CCSD_T,aug-cc-pvdz,-0.00039233766941038084,-0.00025011450375700406,-0.00014222316565337678
124,1.0,1.5,1.0,CCSD_T,aug-cc-pvdz,0.000816982917825726,0.0010234201701990742,-0.0002064372523733482
125,1.0,1.5,1.25,CCSD_T,aug-cc-pvdz,0.00023149707070047043,0.00039066744876947723,-0.0001591703780690068
126,1.0,1.5,1.5,CCSD_T,aug-cc-pvdz,-0.00015367400541776988,-1.0753856798828565e-05,-0.0001429201486189413
127,1.0,1.5,1.75,CCSD_T,aug-cc-pvdz,-0.00031960703356048725,-0.0001973523641538577,-0.00012225466940662955
128,1.0,1.75,0.25,CCSD_T,aug-cc-pvdz,0.0016362826092688465,0.001891489992345896,-0.0002552073830770496
129,1.0,1.75,0.5,CCSD_T,aug-cc-pvdz,0.0012492000424515481,0.001499396529325736,-0.00025019648687418794
130,1.0,1.75,0.75,CCSD_T,aug-cc-pvdz,0.0008000055053400956,0.0010097715716312905,-0.00020976606629119487
131,1.0,1.75,1.0,CCSD_T,aug-cc-pvdz,0.0003674268466227204,0.0005320719952948139,-0.00016464514867209346
132,1.0,1.75,1.25,CCSD_T,aug-cc-pvdz,2.055566986314261e-05,0.00016191151644306956,-0.00014135584657992695
133,1.0,1.75,1.5,CCSD_T,aug-cc-pvdz,-0.00018827655998165937,-6.320601364961931e-05,-0.00012507054633204007
134,1.0,1.75,1.75,CCSD_T,aug-cc-pvdz,-0.00027004094596350114,-0.0001656272536791903,-0.00010441369228431086
135,1.0,2.0,0.25,CCSD_T,aug-cc-pvdz,0.0006624547355613686,0.000841367957960415,-0.0001789132223990464
136,1.0,2.0,0.5,CCSD_T,aug-cc-pvdz,0.0004713107456382204,0.0006492542520533107,-0.00017794350641509027
137,1.0,2.0,0.75,CCSD_T,aug-cc-pvdz,0.0002403519473830329,0.00040254462344080366,-0.00016219267605777077
138,1.0,2.0,1.0,CCSD_T,aug-cc-pvdz,2.628879960298036e-05,0.00016967964359082544,-0.00014339084398784507
139,1.0,2.0,1.25,CCSD_T,aug-cc-pvdz,-0.0001296335340157384,-3.118534820600871e-06,-0.00012651499919513753
140,1.0,2.0,1.5,CCSD_T,aug-cc-pvdz,-0.00021244238837425655,-0.00010404053605839181,-0.00010840185231586474
