config,x,y,z,method,basis,no_vmfc,vmfc,bsse
0,0.25,0.25,1.5,MP2,aug-cc-pvdz,-0.028711391657111562,-0.023586754425153345,-0.005124637231958218
2,0.25,1.0,1.75,MP2,aug-cc-pvdz,-0.008978646954176384,-0.006481906019899952,-0.0024967409342764313
3,0.25,1.5,1.5,MP2,aug-cc-pvdz,-0.00956759965697529,-0.007332281392450568,-0.0022353182645247216
4,0.25,1.5,1.75,MP2,aug-cc-pvdz,-0.006279232045557137,-0.004802055297446373,-0.0014771767481107645
5,0.25,1.25,1.75,MP2,aug-cc-pvdz,-0.00760708465281823,-0.005641836836900893,-0.001965247815917337
6,0.25,1.75,1.0,MP2,aug-cc-pvdz,-0.015477627754250989,-0.012242109723601402,-0.0032355180306495868
7,0.25,1.75,1.5,MP2,aug-cc-pvdz,-0.0074233725085548485,-0.0058337134607882035,-0.001589659047766645
8,0.25,1.75,1.25,MP2,aug-cc-pvdz,-0.0108824823001612,-0.008568904455259485,-0.0023135778449017153
9,0.25,1.75,1.75,MP2,aug-cc-pvdz,-0.005076411449749685,-0.003969881057869884,-0.0011065303918798008
10,0.25,2.0,0.5,MP2,aug-cc-pvdz,-0.01917204957825902,-0.015471752767140856,-0.0037002968111181644
11,0.25,2.0,0.25,MP2,aug-cc-pvdz,-0.022895135027624747,-0.018602569329274843,-0.004292565698349904
12,0.25,2.0,0.75,MP2,aug-cc-pvdz,-0.014992936469298002,-0.012027430960799279,-0.0029655055084987225
13,0.25,2.0,1.0,MP2,aug-cc-pvdz,-0.01113205413128071,-0.008916931121319749,-0.002215123009960962
14,0.25,2.0,1.5,MP2,aug-cc-pvdz,-0.005674622839848098,-0.004515878510730431,-0.001158744329117667
15,0.25,2.0,1.25,MP2,aug-cc-pvdz,-0.007996005071078116,-0.006401923972816803,-0.001594081098261313
16,0.25,2.0,1.75,MP2,aug-cc-pvdz,-0.004058807602120851,-0.0031880045550849445,-0.0008708030470359063
17,0.25,2.5,0.5,MP2,aug-cc-pvdz,-0.008337614157284179,-0.006693626848360168,-0.001643987308924011
18,0.25,2.5,0.25,MP2,aug-cc-pvdz,-0.009534067758892206,-0.007666288746591476,-0.0018677790123007298
19,0.25,2.5,0.75,MP2,aug-cc-pvdz,-0.006831536539948502,-0.005488386968366399,-0.001343149571582103
20,0.25,2.5,1.0,MP2,aug-cc-pvdz,-0.005403638246690434,-0.0043228123109315675,-0.0010808259357588668
21,0.25,2.5,1.5,MP2,aug-cc-pvdz,-0.003261783940786245,-0.002523048121474858,-0.0007387358193113869
22,0.25,2.5,1.25,MP2,aug-cc-pvdz,-0.0042082505523524105,-0.003320674219210673,-0.0008875763331417375
23,0.25,2.5,1.75,MP2,aug-cc-pvdz,-0.0025260861892490993,-0.0019181218965371727,-0.0006079642927119266
24,0.25,2.25,0.5,MP2,aug-cc-pvdz,-0.012994234526502169,-0.010451778529272815,-0.0025424559972293537
