Delta_E_AB_AB,BSSE_A,BSSE_B,x,y,z
0.24063118966623165,0.0033530046350733755,0.0030410009985075703,0.25,2.0,0.25
0.15251345676274752,0.0028458669126081304,0.0027559550344449235,0.25,2.0,0.5
0.0874989656905143,0.002231130375776047,0.0022674048417741233,0.25,2.0,0.75
0.047546677244099556,0.0016681724049192326,0.001745878176620863,0.25,2.0,1.0
0.024524511946481198,0.0012292147152663802,0.001284338573043442,0.25,2.0,1.25
0.012031573852027577,0.0009188354590747849,0.0009291253937959709,0.25,2.0,1.5
0.005720724381632181,0.0007240126253975632,0.0007060787129375967,0.25,2.0,1.75
0.10065014216874602,0.0023512206338551778,0.0021276013844300223,0.25,2.25,0.25
0.07145809049514185,0.002013814332030961,0.0018536070227668233,0.25,2.25,0.5
0.044107253447776884,0.001592053025859741,0.0015230519535975873,0.25,2.25,0.75
0.024774027350773054,0.0012201670771645468,0.0011959181968563826,0.25,2.25,1.0
0.012854114814444983,0.0009347925038554195,0.0009107348127912474,0.25,2.25,1.25
0.0062201096899912045,0.0007474501939839229,0.0007138921471607773,0.25,2.25,1.5
0.0028788001343826863,0.0006193219247592197,0.0005889760630282126,0.25,2.25,1.75
0.043923253979357924,0.0015216642836293204,0.001414887528326858,0.25,2.5,0.25
0.03346231220977813,0.0013170156782251752,0.0012281772307289884,0.25,2.5,0.5
0.022141184999284746,0.001086082408747302,0.0010254123362472,0.25,2.5,0.75
0.013094449467175195,0.0008850740540822244,0.0008337814558529999,0.25,2.5,1.0
0.00704120826050314,0.0007318254501456067,0.0006836572406569985,0.25,2.5,1.25
0.0035060284880614745,0.0006228257668539072,0.0005841512269881832,0.25,2.5,1.5
0.0016656813304223306,0.000521688562912459,0.0004945988615929764,0.25,2.5,1.75
0.020673460134375432,0.0009621152534862176,0.0009345611558870814,0.25,2.75,0.25
0.016561566460950417,0.000876173358392407,0.0008269287446296403,0.25,2.75,0.5
0.011675265385377998,0.0007669448362719322,0.0007152960867244929,0.25,2.75,0.75
0.007385515246340901,0.0006694567494065495,0.0006206600807701079,0.25,2.75,1.0
0.00428041940033097,0.0005880045165866932,0.0005490400496910297,0.25,2.75,1.25
0.002329175982936249,0.0005087208121921094,0.000481210660879583,0.25,2.75,1.5
0.001232260162069565,0.0004237998397655929,0.0004042547913911676,0.25,2.75,1.75
0.16117182934905827,0.0030648354286597623,0.0029314898095265107,0.5,2.0,0.25
0.11254269013267049,0.0026514122894383263,0.00269432453039542,0.5,2.0,0.5
0.06864581568692074,0.002078816395794547,0.0022569527547773305,0.5,2.0,0.75
0.03829711268595304,0.0015576675359909586,0.0017482694308483815,0.5,2.0,1.0
0.019876705005842155,0.0011634361031838125,0.0012773728491737302,0.5,2.0,1.25
0.00970115736521393,0.000896222683849146,0.0009166576688812711,0.5,2.0,1.5
0.004540391775904595,0.0007139222201715256,0.0006852833134729508,0.5,2.0,1.75
0.0742934582764434,0.0021510898783390076,0.001992977543366692,0.5,2.25,0.25
0.05476927588649971,0.0018851493692295662,0.0017858271525170721,0.5,2.25,0.5
0.034879014681607146,0.0015059338200273942,0.0014901022513384987,0.5,2.25,0.75
0.019882096482476186,0.001167342889729639,0.0011690557690542391,0.5,2.25,1.0
0.010308301205469661,0.0009146873087786389,0.0008870558303897269,0.5,2.25,1.25
0.004910288492084192,0.0007442522488076975,0.0006914778450095582,0.5,2.25,1.5
0.002190784787018174,0.0006123295969047149,0.0005617759677960521,0.5,2.25,1.75
0.03436810912434396,0.00140584901289742,0.0013032101414296449,0.5,2.5,0.25
0.02656887576077338,0.0012463474849795375,0.0011661904162423298,0.5,2.5,0.5
0.017810256295788918,0.001049381599855792,0.0009850720392989842,0.5,2.5,0.75
0.010581331837329344,0.0008713859544258185,0.0008011278945474487,0.5,2.5,1.0
0.005651660707300721,0.0007313501147763191,0.0006571416746510295,0.5,2.5,1.25
0.002749658888006934,0.0006201204823099715,0.0005573735431738669,0.5,2.5,1.5
0.001244632899712883,0.0005138284620898048,0.00046680822460132276,0.5,2.5,1.75
0.01685510420847436,0.0009197586737741403,0.0008921133835713135,0.5,2.75,0.25
0.013573641148482807,0.0008521433288990465,0.000791445499359611,0.5,2.75,0.5
0.009610349532351847,0.0007606886914430788,0.0006850322526332775,0.5,2.75,0.75
0.006080356432391909,0.0006709971077327737,0.0005949436552157294,0.5,2.75,1.0
0.0034990178574219044,0.0005875649416111628,0.0005248944660252164,0.5,2.75,1.25
0.0018686577182762676,0.0005029463453212202,0.0004562920861985731,0.5,2.75,1.5
0.0009570355476142822,0.0004165294212015169,0.0003815086671750123,0.5,2.75,1.75
0.10033988035155517,0.0024983858448592855,0.0027532408764443517,0.75,2.0,0.25
0.07418992704221239,0.0021907263818690126,0.0025363064277428293,0.75,2.0,0.5
0.047216087057350364,0.0017648504633314133,0.0021456101127199645,0.75,2.0,0.75
0.0268052257608673,0.0013715573747674625,0.0016721770785323997,0.75,2.0,1.0
0.013862975327540994,0.0010686340154251184,0.0012251626440047403,0.75,2.0,1.25
0.006606495013613767,0.0008508969363418828,0.0008826045841630048,0.75,2.0,1.5
0.0029345072521778093,0.0006795751010315598,0.0006540715007190556,0.75,2.0,1.75
0.04840327221657503,0.0017626540659279044,0.0018408616204936834,0.75,2.25,0.25
0.03673898735361547,0.0015709792937883549,0.0016842392990383814,0.75,2.25,0.5
0.023950301798365103,0.001306860876965743,0.0014235360717691492,0.75,2.25,0.75
0.013724406861527427,0.0010583306636817724,0.0011211580208936311,0.75,2.25,1.0
0.006986908936127634,0.0008630711203636565,0.0008561799501904943,0.75,2.25,1.25
0.0031521227265898233,0.0007133428263728092,0.0006653895581223424,0.75,2.25,1.5
0.0012446956454255087,0.0005836133666434762,0.0005296115747341901,0.75,2.25,1.75
0.02348572745094657,0.0011970521278783508,0.0012129186488039068,0.75,2.5,0.25
0.018370859776084103,0.0010917900124098878,0.0011011533050009348,0.75,2.5,0.5
0.012406798248122186,0.0009543330695862551,0.000938887298929103,0.75,2.5,0.75
0.007325188768803059,0.0008191811835445151,0.0007705041098660104,0.75,2.5,1.0
0.003797279529223374,0.000700680682925281,0.0006346940016612734,0.75,2.5,1.25
0.0017130088375552077,0.0005928915890507369,0.0005295798682283248,0.75,2.5,1.5
0.0006551459529191561,0.0004888181966435923,0.0004346654326212729,0.75,2.5,1.75
0.012064385050351234,0.0008339113874882287,0.0008448715284430364,0.75,2.75,0.25
0.00974719257401091,0.000788337042791909,0.0007574101676226519,0.75,2.75,0.5
0.006900215066735882,0.0007203515375238112,0.0006602779558022576,0.75,2.75,0.75
0.00432548045532144,0.000643809617685065,0.0005753318042707178,0.75,2.75,1.0
0.0024227111793067024,0.0005634331173496321,0.0005018930268221311,0.75,2.75,1.25
