Total_energy_Delta_E_AB_AB,Total_energy_BSSE_A,Total_energy_BSSE_B,MP2_correlation_energy_Delta_E_AB_AB,MP2_correlation_energy_BSSE_A,MP2_correlation_energy_BSSE_B,(T)_correlation_energy_Delta_E_AB_AB,(T)_correlation_energy_BSSE_A,(T)_correlation_energy_BSSE_B,CCSD_3correlation_energy_Delta_E_AB_AB,CCSD_3correlation_energy_BSSE_A,CCSD_3correlation_energy_BSSE_B,SCF_energy_Delta_E_AB_AB,SCF_energy_BSSE_A,SCF_energy_BSSE_B,x,y,z
"(0.12070293443522928,)","(0.0016113934782708839,)","(0.0016113789372411702,)","(0.001176588856947991,)","(0.0008926818617920051,)","(0.0008926818617920051,)","(-9.749837511700008e-05,)","(7.474404645900013e-05,)","(7.474191606899987e-05,)","(-0.0001700547910540029,)","(3.9793159140988354e-05,)","(3.978074851099245e-05,)","(0.11979389874500157,)","(0.0006041744109950287,)","(0.0006041744109950287,)",0.25,0.25,1.5
"(0.038844048469798054,)","(0.0009145926025837525,)","(0.0009145892712751902,)","(0.000462567117484991,)","(0.00038963348545001386,)","(0.00038963348545001386,)","(-7.638051839500013e-05,)","(5.1468304144000176e-05,)","(5.1467745805999776e-05,)","(-0.00023621150343802744,)","(3.433499617697122e-05,)","(3.4332223773969606e-05,)","(0.038694073375012294,)","(0.00043915581699138784,)","(0.000439155815996628,)",0.25,0.25,1.75
"(0.09158122520383927,)","(0.0014399945376908363,)","(0.0014399969626595066,)","(0.0009895248952359603,)","(0.0007500156333589969,)","(0.0007500156333589969,)","(-8.94719229260002e-05,)","(6.784029308200008e-05,)","(6.784012908199986e-05,)","(-0.0002139406700559232,)","(3.9164123401019824e-05,)","(3.916671221401713e-05,)","(0.0908951129019897,)","(0.0005829744879974896,)","(0.0005829744879974896,)",0.25,0.5,1.5
"(0.030491789810895398,)","(0.0007798524798943163,)","(0.0007798701282126785,)","(0.0003452619588210082,)","(0.0003183235513000149,)","(0.0003183235513000149,)","(-7.355556470199989e-05,)","(4.7856017739999774e-05,)","(4.785643302599981e-05,)","(-0.0002248037385700341,)","(3.1392715571981755e-05,)","(3.140994895298177e-05,)","(0.030444887155965716,)","(0.00038228019499797483,)","(0.00038228019499797483,)",0.25,0.5,1.75
"(0.05900256051458541,)","(0.0011651206262968117,)","(0.0011651282315199296,)","(0.0007005237532230479,)","(0.0005458606418900225,)","(0.0005458606418890233,)","(-8.162962489000015e-05,)","(5.862599681999989e-05,)","(5.8626378275999924e-05,)","(-0.0002413134525000582,)","(3.76433400149645e-05,)","(3.765056393997823e-05,)","(0.05862497983798676,)","(0.0005229906469992329,)","(0.0005229906469992329,)",0.25,0.75,1.5
"(0.020620459301028404,)","(0.0005860377864337352,)","(0.0005860661554493163,)","(0.0001878836507139825,)","(0.00023151531737400366,)","(0.00023151531737300446,)","(-6.883937410400061e-05,)","(4.2590808446999785e-05,)","(4.2593512746999865e-05,)","(-0.00019909843627397006,)","(2.54514827560115e-05,)","(2.547714741901741e-05,)","(0.020700513462031722,)","(0.000286480178004922,)","(0.000286480178004922,)",0.25,0.75,1.75
"(0.08370942512686952,)","(0.0013836617729339196,)","(0.001383642371536098,)","(0.0009284035775389832,)","(0.0007055673398710105,)","(0.0007055673398710105,)","(-8.751382208100006e-05,)","(6.579053345500026e-05,)","(6.579019533800015e-05,)","(-0.00022319382209398664,)","(3.8946647636983744e-05,)","(3.8927584581988084e-05,)","(0.08309172919300067,)","(0.0005733572519943664,)","(0.0005733572509996065,)",0.25,1.0,1.25
"(0.03303259556827243,)","(0.0008233314313770279,)","(0.0008233468396383614,)","(0.0003823360698300138,)","(0.0003403414126000037,)","(0.0003403414126000037,)","(-7.44890315120001e-05,)","(4.9014689154999996e-05,)","(4.9015076520000315e-05,)","(-0.00022907261590601746,)","(3.244241007097082e-05,)","(3.245743081697894e-05,)","(0.032953821144985795,)","(0.0004015329189996919,)","(0.0004015329189996919,)",0.25,1.0,1.5
"(0.012189679980536994,)","(0.0003871649694531243,)","(0.00038715888535989507,)","(3.422267847300042e-05,)","(0.00015985065608900562,)","(0.00015985065604401383,)","(-6.187910013599968e-05,)","(3.619991499600019e-05,)","(3.619987844899995e-05,)","(-0.00015935425901203448,)","(1.6796528121976184e-05,)","(1.679040840096846e-05,)","(0.012376690661000112,)","(0.00017431787000532495,)","(0.00017431794199751494,)",0.25,1.0,1.75
"(0.08370942525846203,)","(0.0013836489734444513,)","(0.0013836487831895283,)","(0.000928404311892006,)","(0.000705567335454016,)","(0.000705567335454016,)","(-8.751373500800021e-05,)","(6.579057667800009e-05,)","(6.579009110100004e-05,)","(-0.00022319451238897448,)","(3.8933809884983406e-05,)","(3.893410517596951e-05,)","(0.08309172919399543,)","(0.0005733572509996065,)","(0.0005733572509996065,)",0.25,1.25,1.0
"(0.03884406249198946,)","(0.000914595307875743,)","(0.0009146018008152623,)","(0.00046256784898901504,)","(0.0003896337443670128,)","(0.0003896337443660136,)","(-7.637932585400058e-05,)","(5.146835624700004e-05,)","(5.146885700099994e-05,)","(-0.00023619940576599663,)","(3.4337390790978306e-05,)","(3.434338298896611e-05,)","(0.038694073374017535,)","(0.000439155815996628,)","(0.000439155815996628,)",0.25,1.25,1.25
"(0.016413394135213366,)","(0.0004901476145278139,)","(0.0004901053353592033,)","(0.00011352795150099126,)","(0.00019502960035300276,)","(0.00019502960035300276,)","(-6.591243131500021e-05,)","(3.974487973700024e-05,)","(3.9744305309999915e-05,)","(-0.00018202172688797091,)","(2.1681873006995644e-05,)","(2.1640168218983735e-05,)","(0.01654780034198211,)","(0.0002336912610019226,)","(0.0002336912610019226,)",0.25,1.25,1.5
"(0.006397358360203498,)","(0.0002512705428046047,)","(0.00025126920155571497,)","(-7.935511964002329e-05,)","(0.00011518787701100819,)","(0.00011518787701000899,)","(-5.2562088934000276e-05,)","(2.9041515363000155e-05,)","(2.903920300300006e-05,)","(-0.0001141110791169353,)","(8.646308271992309e-06,)","(8.64727931298992e-06,)","(0.006643386648022442,)","(9.839484201279447e-05,)","(9.839484201279447e-05,)",0.25,1.25,1.75
"(0.12070297681779607,)","(0.001611395148529482,)","(0.0016113950224792006,)","(0.0011765880139549822,)","(0.000892681690378011,)","(0.000892681690378011,)","(-9.749453074699979e-05,)","(7.474424135600014e-05,)","(7.474431129100021e-05,)","(-0.00017001547016298746,)","(3.9794806083987e-05,)","(3.979461011696661e-05,)","(0.11979389880400504,)","(0.0006041744100002688,)","(0.0006041744100002688,)",0.25,1.5,0.25
"(0.09158128994508274,)","(0.0014400069750877265,)","(0.0014400101290732437,)","(0.0009895275934049819,)","(0.0007500162498360052,)","(0.0007500162498370044,)","(-8.947541374800016e-05,)","(6.784065338600025e-05,)","(6.783999008799996e-05,)","(-0.00021387513330500818,)","(3.9175583500972166e-05,)","(3.9179401101985256e-05,)","(0.090895112898977,)","(0.0005829744879974896,)","(0.0005829744879974896,)",0.25,1.5,0.5
"(0.059002582833130646,)","(0.0011651331801090237,)","(0.0011651344874792358,)","(0.0007005265846429798,)","(0.0005458618542180105,)","(0.0005458618542180105,)","(-8.162916124100032e-05,)","(5.8626418650000074e-05,)","(5.86270337580002e-05,)","(-0.00024129443041498444,)","(3.7654259643971066e-05,)","(3.7654951917986956e-05,)","(0.05862497983997628,)","(0.0005229906469992329,)","(0.0005229906469992329,)",0.25,1.5,0.75
"(0.03303266951718342,)","(0.0008233929401342266,)","(0.0008233503027383904,)","(0.00038233854771196896,)","(0.0003403425783179981,)","(0.0003403425783169989,)","(-7.44818840179998e-05,)","(4.901809670700011e-05,)","(4.90153939240001e-05,)","(-0.00022900828933794526,)","(3.249934554699907e-05,)","(3.2459410841984004e-05,)","(0.032953821141973094,)","(0.0004015329189996919,)","(0.0004015329189996919,)",0.25,1.5,1.0
"(0.01641338216290933,)","(0.0004901267101331541,)","(0.0004901215842210149,)","(0.00011352656115698467,)","(0.00019502896531500835,)","(0.00019502896531500835,)","(-6.591197093500003e-05,)","(3.974517112100007e-05,)","(3.974448877500005e-05,)","(-0.00018203276798400836,)","(2.1661312200965677e-05,)","(2.1656868599978507e-05,)","(0.01654780033999259,)","(0.0002336912610019226,)","(0.0002336912610019226,)",0.25,1.5,1.25
"(0.007362836786171556,)","(0.0002715234398067423,)","(0.00027151668282954233,)","(-6.051709333898536e-05,)","(0.00012241482673100434,)","(0.00012241482673000514,)","(-5.4634652042000274e-05,)","(3.0531634766000054e-05,)","(3.053149996099999e-05,)","(-0.00012321891209404745,)","(1.0033558197980463e-05,)","(1.002693627097373e-05,)","(0.007601207443997282,)","(0.0001085434199978863,)","(0.0001085434199978863,)",0.25,1.5,1.5
"(0.0030221156517882264,)","(0.00020096727189411467,)","(0.00020094127296488296,)","(-0.00013837856762499712,)","(8.794398051101271e-05,)","(8.794398051101271e-05,)","(-4.1730541743999726e-05,)","(2.212924368900004e-05,)","(2.212676416900013e-05,)","(-7.420100777300043e-05,)","(5.396073030961013e-06,)","(5.3725537679794044e-06,)","(0.003276425767978708,)","(8.549797399837189e-05,)","(8.549797399837189e-05,)",0.25,1.5,1.75
"(0.03884403286184579,)","(0.0009145986121268379,)","(0.0009145685254736691,)","(0.00046256638376696024,)","(0.00038963314213300015,)","(0.00038963314213399936,)","(-7.637764497000002e-05,)","(5.1470675572000326e-05,)","(5.146785595300024e-05,)","(-0.00023622925043295662,)","(3.433897874000058e-05,)","(3.431171143999934e-05,)","(0.038694073373022775,)","(0.0004391558150018682,)","(0.000439155815996628,)",0.25,1.75,0.25
"(0.03049183575038228,)","(0.0007798882127758588,)","(0.0007798982437350332,)","(0.00034526152057701154,)","(0.0003183235875970081,)","(0.0003183235875970081,)","(-7.355062140999976e-05,)","(4.785741467000027e-05,)","(4.785778106700025e-05,)","(-0.0002247623017160305,)","(3.1427016869978175e-05,)","(3.143668113098075e-05,)","(0.030444887152981437,)","(0.00038228019300845517,)","(0.000382280194003215,)",0.25,1.75,0.5
"(0.020620460362124504,)","(0.0005860702620452685,)","(0.0005860417637677529,)","(0.00018788258223795262,)","(0.00023151536037199771,)","(0.0002315153603709985,)","(-6.88396800879996e-05,)","(4.259120100000031e-05,)","(4.259062872700005e-05,)","(-0.00019909600071996159,)","(2.548352299600043e-05,)","(2.545559681998988e-05,)","(0.020700513461036962,)","(0.00028648017701016215,)","(0.000286480178004922,)",0.25,1.75,0.75
"(0.012189674399422756,)","(0.0003871671235060603,)","(0.0003871594927602473,)","(3.422241220801814e-05,)","(0.00015985068061802332,)","(0.00015985068057300378,)","(-6.188534814999952e-05,)","(3.6199770235000126e-05,)","(3.619826021200026e-05,)","(-0.00015935334240102517,)","(1.6798802132955704e-05,)","(1.6792609725979624e-05,)","(0.012376690677996294,)","(0.00017431787000532495,)","(0.00017431794199751494,)",0.25,1.75,1.0
"(0.00639736463921281,)","(0.00025127267096536343,)","(0.000251246853650855,)","(-7.93567308169929e-05,)","(0.0001151874804580233,)","(0.0001151874804580233,)","(-5.2561459535999545e-05,)","(2.9041860287000107e-05,)","(2.903924595200032e-05,)","(-0.0001141038186270038,)","(8.64848792095363e-06,)","(8.625284993957205e-06,)","(0.006643386648022442,)","(9.839484201279447e-05,)","(9.839484201279447e-05,)",0.25,1.75,1.25
"(0.0030221328954667115,)","(0.00020096500216482127,)","(0.0002009548477133194,)","(-0.0001383778012220005,)","(8.794394387900972e-05,)","(8.794394387801052e-05,)","(-4.1727842985999665e-05,)","(2.212763321600029e-05,)","(2.212786809600029e-05,)","(-7.418728219102388e-05,)","(5.395450520973011e-06,)","(5.385061203982966e-06,)","(0.0032764258210136177,)","(8.549797399837189e-05,)","(8.549797399837189e-05,)",0.25,1.75,1.5
"(0.0012882809984944288,)","(0.000182130985507456,)","(0.0001821379164823611,)","(-0.00015229828146101632,)","(6.878770956300628e-05,)","(6.878770956200708e-05,)","(-3.118840157299938e-05,)","(1.715915211900022e-05,)","(1.7158250755000288e-05,)","(-4.5386224241994455e-05,)","(6.883856578987491e-06,)","(6.891689004973056e-06,)","(0.0015171539060361283,)","(8.930026700681992e-05,)","(8.930026700681992e-05,)",0.25,1.75,1.75
"(0.09158128237015717,)","(0.001439984199009814,)","(0.0014399996904330692,)","(0.0009895253109579727,)","(0.0007500152227180035,)","(0.0007500152227180035,)","(-8.947478920799971e-05,)","(6.783953140499996e-05,)","(6.784190874000026e-05,)","(-0.00021388105332798002,)","(3.9154957030995696e-05,)","(3.916807137999134e-05,)","(0.09089511290201813,)","(0.0005829744879974896,)","(0.0005829744870027298,)",0.5,0.25,1.5
"(0.030491805564565766,)","(0.0007798653781492249,)","(0.0007798809508585691,)","(0.0003452619588240058,)","(0.0003183235513010141,)","(0.0003183235513010141,)","(-7.355518549000042e-05,)","(4.7856064485000006e-05,)","(4.785689075100007e-05,)","(-0.00022478836420197768,)","(3.140556718597698e-05,)","(3.142031378297605e-05,)","(0.030444887155965716,)","(0.00038228019499797483,)","(0.00038228019499797483,)",0.5,0.25,1.75
"(0.07014732380335431,)","(0.001272815608331257,)","(0.0012728241535739926,)","(0.0008106868250469801,)","(0.0006219619261060017,)","(0.0006219619261060017,)","(-8.426141479699967e-05,)","(6.201711221800023e-05,)","(6.201890368799992e-05,)","(-0.00023552257674896993,)","(3.841619645697514e-05,)","(3.842295053999023e-05,)","(0.06965642096997726,)","(0.0005504203730026802,)","(0.0005504203730026802,)",0.5,0.5,1.5
