Total_energy_Delta_E_AB_AB,Total_energy_BSSE_A,Total_energy_BSSE_B,MP2_correlation_energy_Delta_E_AB_AB,MP2_correlation_energy_BSSE_A,MP2_correlation_energy_BSSE_B,(T)_correlation_energy_Delta_E_AB_AB,(T)_correlation_energy_BSSE_A,(T)_correlation_energy_BSSE_B,CCSD_correlation_energy_Delta_E_AB_AB,CCSD_correlation_energy_BSSE_A,CCSD_correlation_energy_BSSE_B,SCF_energy_Delta_E_AB_AB,SCF_energy_BSSE_A,SCF_energy_BSSE_B,distance
"(0.42752788917429996,)","(0.005609277231236831,)","(0.004046540958718481,)","(-0.05260133815925297,)","(0.00407535337072501,)","(0.00312094756359102,)","(-0.009567361503182001,)","(0.00039029959933099996,)","(0.00032701512863199996,)","(0.017474857082507983,)","(-0.00041987489773800957,)","(-0.0003090098444890055,)","(0.4722217317529953,)","(0.0015634991589976721,)","(0.0009075881109978923,)",1.5
"(0.25174697095901877,)","(0.0039779334790353005,)","(0.00281994344950931,)","(-0.027952531437841016,)","(0.002811007171428015,)","(0.002169222331136006,)","(-0.0038494544238309994,)","(0.0002958831945340003,)","(0.00024386408150899996,)","(0.00527357046704699,)","(-0.0002999339386410005,)","(-0.00023783774933100466,)","(0.2782753863539966,)","(0.001170977051998534,)","(0.0006446947869989117,)",1.75
"(0.12303088545880314,)","(0.002811646502046017,)","(0.0019608357848639457,)","(-0.01276198202145798,)","(0.00192807500535902,)","(0.0014939683498660095,)","(-0.001610194411737,)","(0.00021986734574299966,)","(0.0001787538246519997,)","(0.0016810648755119784,)","(-0.00018301371930803945,)","(-0.0001757080303090297,)","(0.1357219970169936,)","(0.000846717870999214,)","(0.00046382164099867396,)",2.0
"(0.05753047520755672,)","(0.0020490265568042787,)","(0.0012937702457946898,)","(-0.006974180466753993,)","(0.00133531488421601,)","(0.0009514978099780247,)","(-0.0009631127653230006,)","(0.000161191322672,)","(0.00012061877340500005,)","(0.0005746574453579789,)","(-0.0001220722346650105,)","(-0.00011699414859001056,)","(0.06489311099399941,)","(0.0006745925849998002,)","(0.0003386478109987934,)",2.25
"(0.026138599637206994,)","(0.0015140787945568945,)","(0.000830753044297694,)","(-0.004066849937296002,)","(0.0009602601434710034,)","(0.0005747801584810031,)","(-0.0006389269710279999,)","(0.00011970731905699972,)","(7.633807660699984e-05,)","(0.00013215565460403256,)","(-9.287264201099377e-05,)","(-7.409776563799264e-05,)","(0.03071222089099024,)","(0.0005269839749999505,)","(0.00025373257499694546,)",2.5
"(0.011367896165602076,)","(0.0011041488835843438,)","(0.0005264654191492468,)","(-0.0024657591985810245,)","(0.0006742347202370047,)","(0.0003469535037650129,)","(-0.0004397013819779994,)","(8.667902129499971e-05,)","(4.808696744600018e-05,)","(-3.988072826696665e-05,)","(-6.700041278201452e-05,)","(-4.609477697500863e-05,)","(0.014313237474006257,)","(0.0004102355550017478,)","(0.0001775197249997973,)",2.75
"(0.004515821912285389,)","(0.000772861716129114,)","(0.00034855050268589594,)","(-0.0015385840748690094,)","(0.0004564706818570019,)","(0.00022522616017101038,)","(-0.00030489357738499884,)","(5.94361595750003e-05,)","(3.2242859966000355e-05,)","(-9.246445469399123e-05,)","(-4.7358185387008644e-05,)","(-2.97229405010202e-05,)","(0.0064517640200065784,)","(0.00030431306100098254,)","(0.0001208044240001982,)",3.0
"(0.0014015800809872303,)","(0.0005135015576414048,)","(0.0002530949666095239,)","(-0.0009745370908829931,)","(0.000301716977562011,)","(0.00016296130546999965,)","(-0.0002092016683189991,)","(3.8688522266999877e-05,)","(2.345643531399995e-05,)","(-9.54340608419757e-05,)","(-3.4554916550993964e-05,)","(-2.080282985600368e-05,)","(0.0026807529010071107,)","(0.00020765097499975127,)","(8.748005600267561e-05,)",3.25
"(3.792322044660068e-05,)","(0.0003320252926570788,)","(0.00020126566658262846,)","(-0.0006160061564119967,)","(0.00019282864434000402,)","(0.00012680721590302424,)","(-0.00014032400547199855,)","(2.4341138376000535e-05,)","(1.792682896300038e-05,)","(-8.125175823298081e-05,)","(-2.4477876618994587e-05,)","(-1.5630556175011412e-05,)","(0.0008755051400015645,)","(0.00013933338699700926,)","(7.216217800021241e-05,)",3.5
"(-0.0005170341688724989,)","(0.00021705062747656712,)","(0.00016770048101477641,)","(-0.0003831345112980111,)","(0.00012214697760901116,)","(0.00010122111070301476,)","(-9.145251712800069e-05,)","(1.5651060728000092e-05,)","(1.398926934400007e-05,)","(-6.373891429897749e-05,)","(-1.6351388125029898e-05,)","(-1.2215285458028191e-05,)","(2.1291774011444886e-05,)","(9.560397800356668e-05,)","(6.470538700398265e-05,)",3.75
