Delta_E_AB_AB,BSSE_A,BSSE_B,x,y,z
0.1388893299140932,0.0019602612212281656,0.0019602427844915837,0.25,0.25,1.5
0.049313583936921646,0.0013331866132659798,0.0013332238963670306,0.25,0.25,1.75
0.11056764099251382,0.0018601694270330427,0.0018601890721470227,0.25,0.5,1.5
0.0404350525919881,0.0012299336138994477,0.0012299399659241317,0.25,0.5,1.75
0.07697457432813337,0.001637056456743835,0.0016370781872012685,0.25,0.75,1.5
0.029490479501760092,0.001050683490859683,0.0010507210770924758,0.25,0.75,1.75
0.1129775841392302,0.0019596125211762683,0.0019596006409869915,0.25,1.0,1.25
0.04789832683070472,0.001316926260400919,0.0013169329817372954,0.25,1.0,1.5
0.019519750157783733,0.0008235590662906134,0.0008235738846735785,0.25,1.0,1.75
0.12294811513918091,0.0020405630607172043,0.0020405582839799763,0.25,1.25,1.0
0.06011381259449422,0.0014687706241289789,0.001468788467590798,0.25,1.25,1.25
0.027332221076008523,0.0009639018077791661,0.0009638893161678652,0.25,1.25,1.5
0.012023769223247882,0.0005949402564482398,0.0005948936967996588,0.25,1.25,1.75
0.19409807502357523,0.0025726345539851536,0.0025726326519333043,0.25,1.5,0.25
0.14838634997624922,0.0022688992738011393,0.002268894852548442,0.25,1.5,0.5
0.09783370652246504,0.0018702219787058993,0.0018701636683857714,0.25,1.5,0.75
0.05682158235873658,0.0014304933436335432,0.0014304869582133506,0.25,1.5,1.0
0.02988055441151971,0.0009999743953983398,0.0010000046567739673,0.25,1.5,1.25
0.014707279029863685,0.0006446186018962408,0.0006445878064340604,0.25,1.5,1.5
0.007100665418178664,0.00040839082487309497,0.0004083962386260964,0.25,1.5,1.75
0.0730358548613168,0.0017741656993024435,0.0017741714392229824,0.25,1.75,0.25
0.05814759719082474,0.0015237851248173229,0.001523774659702326,0.25,1.75,0.5
0.040506184276324575,0.001212144805464277,0.0012121542213776593,0.25,1.75,0.75
0.025139767997373497,0.0008961747515314755,0.000896157800752917,0.25,1.75,1.0
0.0142704432173133,0.0006155210624143592,0.0006155130460285818,0.25,1.75,1.25
0.007690062947361298,0.0004066904529054227,0.00040671494541300035,0.25,1.75,1.5
0.004155030871544341,0.0002909804842374797,0.0002909865602305217,0.25,1.75,1.75
0.11056759292040397,0.0018601816292971307,0.001860142764229522,0.5,0.25,1.5
0.040435066775643236,0.0012299514979901005,0.0012299338781218694,0.5,0.25,1.75
0.08875063750063816,0.0017297335513148937,0.0017297349384222116,0.5,0.5,1.5
0.03338581828518272,0.0011217781934362847,0.0011218342555139316,0.5,0.5,1.75
0.15243387065414993,0.0022162850723077554,0.0022162772642246864,0.5,0.75,1.25
0.06253836621492326,0.001497155075895762,0.0014971813781841092,0.5,0.75,1.5
0.02461133066232435,0.0009485371706432488,0.0009485517876015592,0.5,0.75,1.75
0.1942800003316023,0.0024746862868738617,0.0024747333904997504,0.5,1.0,1.0
0.09096520328756696,0.0017840540250375625,0.0017840550519707676,0.5,1.0,1.25
0.039499134595970986,0.0011902271824340005,0.0011902153484157907,0.5,1.0,1.5
0.016516261631650764,0.0007392033925412989,0.0007392027883952323,0.5,1.0,1.75
0.17836656479479984,0.0023857422231543524,0.0023857733437608886,0.5,1.25,0.75
0.09878273374368973,0.0018566575274832076,0.0018566469892533632,0.5,1.25,1.0
0.04931282662086289,0.0013270868115426993,0.0013270928193378495,0.5,1.25,1.25
0.02292435006005178,0.0008648975784524282,0.0008648672170892269,0.5,1.25,1.5
0.010342572890991164,0.0005345353465315839,0.0005345296826959611,0.5,1.25,1.75
0.15313231296114793,0.002368889716237277,0.0023688692637051645,0.5,1.5,0.25
0.11826267412479297,0.002080845359273553,0.002080843152413081,0.5,1.5,0.5
0.07905688856774873,0.0017027383070598034,0.0017026930370462878,0.5,1.5,0.75
0.04667475384529496,0.001290144375076352,0.001290145064260173,0.5,1.5,1.0
0.02499907825877301,0.0008959058328059655,0.0008958856669352144,0.5,1.5,1.25
0.01256513105190038,0.0005772589382644355,0.00057727086014836,0.5,1.5,1.5
0.006224343145134981,0.00037278192257872433,0.0003728002857883439,0.5,1.5,1.75
0.059231731660617015,0.001612347194267727,0.0016122869815973218,0.5,1.75,0.25
0.047562289632708143,0.0013746640011191857,0.001374645026587018,0.5,1.75,0.5
0.033509865736235156,0.0010861222487505984,0.0010860951509954475,0.5,1.75,0.75
0.021090661291310653,0.0007994496004783969,0.0007994478444999231,0.5,1.75,1.0
0.012176825401027713,0.0005498843520541641,0.0005498846206251073,0.5,1.75,1.25
0.0067019098434855096,0.0003700565261084421,0.00037006067692857414,0.5,1.75,1.5
0.0037171267035347455,0.0002749605589684734,0.00027491921221667326,0.5,1.75,1.75
0.07697454644420532,0.0016370697774448217,0.0016370878785778586,0.75,0.25,1.5
0.029490482044337796,0.0010506836212726967,0.0010507235471806098,0.75,0.25,1.75
0.15243370371942433,0.002216281678911969,0.0022162927632081164,0.75,0.5,1.25
0.0625383661639205,0.0014971550760094487,0.0014971813674833356,0.75,0.5,1.5
0.024611304630127506,0.0009485124190575789,0.0009485517694827195,0.75,0.5,1.75
0.10502690829081018,0.0018996157086093035,0.0018996175514303104,0.75,0.75,1.25
0.04488689874987983,0.0012737698367999428,0.0012738040845476917,0.75,0.75,1.5
0.018450673490306713,0.0007945299579574794,0.000794542287422928,0.75,0.75,1.75
0.13244484426537895,0.002105980056029466,0.00210597440094773,0.75,1.0,1.0
0.0643005623885955,0.0015183137581828987,0.001518313209913913,0.75,1.0,1.25
0.029017076764162653,0.0009990077349044668,0.0009989840405353334,0.75,1.0,1.5
0.012657954893157353,0.0006168008329581198,0.0006167737239195503,0.75,1.0,1.75
0.18754006294230408,0.0024736877599735863,0.002473713154799384,0.75,1.25,0.5
0.12185203776667208,0.002049070285693233,0.0020489869257858118,0.75,1.25,0.75
0.06956640366902889,0.0015811189488346145,0.0015811213421699222,0.75,1.25,1.0
0.035896042031609454,0.00111404566247586,0.0011140661642627947,0.75,1.25,1.25
